Data,Średnia waga (kg),Największa waga (kg),Najmniejsza waga (kg),Kalorie (kcal),Punkty kardio,Minuty intensywnego treningu,Dolna szerokość geograficzna (w stopniach),Dolna długość geograficzna (w stopniach),Górna szerokość geograficzna (w stopniach),Górna długość geograficzna (w stopniach),Średnie tętno (bpm),Najwyższe tętno (bpm),Najniższe tętno (bpm),Liczba kroków,Odległość (m),Średnia szybkość (m/s),Największa szybkość (m/s),Najmniejsza szybkość (m/s),Liczba minut ruchu,Jazda na rowerze – czas trwania (ms),Brak aktywności – czas trwania (ms),Marsz – czas trwania (ms),Bieg – czas trwania (ms),Badminton – czas trwania (ms),Turystyka piesza – czas trwania (ms),Sen – czas trwania (ms),Pływanie – czas trwania (ms),Inna – czas trwania (ms),Płytki sen – czas trwania (ms),Głęboki sen – czas trwania (ms),Wybudzenie ze snu – czas trwania (ms)
2020-05-03,,,,132.88929087384258,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,,,,1619.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,70.5,70.5,70.5,1617.0454859785107,,,,,,,,,,,,,,,,,7068986,,,,,,,,,,
2020-05-06,,,,1589.4999389648438,,,,,,,,,,,,,,,,,86400000,,,,,,,,,,
2020-05-07,,,,1634.9451638109865,9.0,9,52.4079345,16.901678,52.4099946,16.9040898,,,,2423,1477.9093370437622,0.5930577941441649,1.8299365043640137,0.09693687409162521,29,,50689962,811237,,,,33000000,,,,,
2020-05-08,,,,1739.1703452699358,25.0,25,52.4099147,16.9027473,52.4163836,16.9117546,,,,6067,4101.5986070632935,1.4581991150324904,12.883502006530762,0.3061806857585907,80,,60680538,2671747,,,,21900000,,,,,
2020-05-09,,,,2137.5566549944006,52.0,51,52.4013706,16.878621,52.4207255,16.9146254,,,,18750,12658.502171874046,0.91504330086693,5.452577114105225,0.26009052991867065,240,,44358163,9762471,,,,23640000,,,,,
2020-05-10,,,,1663.8945510207122,19.0,19,52.4095468,16.9031188,52.4113964,16.9122452,,,,4231,2897.6311509609222,0.529371856536442,1.8565071821212769,0.2558199167251587,47,,59118219,1327249,,,,24780000,,,,,
2020-05-11,,,,1914.099034213355,31.0,20,52.4099759,16.8598229,52.4159444,16.9083325,,,,12353,8371.973508775234,0.6371340384471301,2.9016165733337402,0.23367072641849518,201,,46191407,5794376,,,,28500000,,,,,
2020-05-12,,,,1883.7305307506713,38.0,37,52.4100891,16.9034226,52.4269405,16.9098876,,,,9489,6243.461542919278,0.5789356730265223,8.305095672607422,0.013215502724051476,115,,49516216,5252273,,,,29520000,,,,,
2020-05-13,,,,1763.7458586884486,37.0,35,52.4011038,16.9024602,52.4098049,16.9138723,,,,7803,5540.133123874664,0.5979992320943535,2.845892906188965,0.2792341709136963,102,,53117940,3085919,,,,28200000,,,,,
2020-05-14,,,,1593.976339409415,,,,,,,,,,1901,1060.7669557332993,0.8587062365717151,1.8143298625946045,0.2558199167251587,33,,64044492,79909,,,,21000000,,,,,
2020-05-15,,,,1589.4999698569786,9.0,8,,,,,,,,2710,255.97516918182373,2.2616708611471315,14.075685501098633,0.24165570735931396,36,,63480000,,,,,22920000,,,,,
2020-05-16,,,,1614.3834395513834,5.0,5,52.4100937,16.9040268,52.4100937,16.9040268,,,,1551,768.940803527832,0.8387849881914445,2.035372734069824,0.029146956279873848,27,,58462100,417978,,,,26700000,,,,,
2020-05-17,,,,1673.2259048264903,20.0,17,52.4094561,16.9023202,52.4122171,16.9084796,,,,4166,2800.1350721120834,0.4879229920054553,2.5633654594421387,0.300310343503952,54,,49698355,1494582,,,,32760000,,,,,
2020-05-18,,,,1698.041804915647,19.0,18,52.410149,16.9033959,52.4159441,16.9075451,,,,5173,3412.7800645828247,0.6209814829447576,2.3684639930725098,0.08346326649188995,69,,63817311,1937568,,,,18300000,,,,,
2020-05-19,,,,1736.1420314186676,24.0,24,52.4079869,16.9017419,52.4157669,16.9081019,,,,5636,3699.3474066257477,0.6109808611206341,7.432485103607178,0.2558199167251587,74,,45424564,2597448,,,,37200000,,,,,
2020-05-20,,,,1619.0958485199758,,,,,,,,,,2704,1753.1886253356934,0.5035636739795043,3.845337390899658,0.31143295764923096,50,,54859261,287737,104897,,,30000000,,,,,
2020-05-21,,,,1811.6184971928596,22.0,21,52.4066071,16.9032951,52.410421,16.923939,,,,7708,5244.918726205826,0.6732007851700331,2.8403866291046143,0.280965656042099,91,,44936681,3961309,,,,35220000,,,,,
2020-05-22,,,,1593.7591672814638,,,,,,,,,,1316,889.8716495037079,0.5712126637644963,2.1967592239379883,0.2891877293586731,19,,47272428,76031,,,,36000000,,,,,
2020-05-23,,,,1648.6758083711636,12.0,9,52.4099426,16.9040991,52.413133,16.9130622,,,,2515,1774.0460891723633,0.5635286488053228,2.906517267227173,0.26694250106811523,32,,51282224,798866,74048,,,33660000,,,,,
2020-05-24,,,,1635.8480661106614,3.0,3,,,,,,,,1999,1319.1498889923096,0.7752385337669525,10.808479309082031,0.1983812153339386,30,,50706441,827355,,,,34200000,,,,,
2020-05-25,,,,1689.7473844423746,18.0,17,52.4079392,16.9016676,52.4120451,16.9069469,,,,5963,3831.374980330467,0.6458867307243937,3.4512851238250732,0.27806511521339417,82,,58206163,1789505,,,,22740000,,,,,
2020-05-26,,,,1602.6710943219673,3.0,3,,,,,,,,2349,1543.8346128463745,0.6424603437581067,3.7447378635406494,0.2601839005947113,34,,57043928,235117,,,,27480000,,,,,
2020-05-27,,,,2022.0540789777333,79.0,79,52.4099456,16.9031439,52.4268442,16.9126513,,,,16315,11413.228625923395,0.6735346299645428,3.71706223487854,0.2628479301929474,202,,49388145,7721470,,,,24300000,,,,,
2020-05-28,,,,1911.6435634430536,59.0,59,52.4080843,16.903176,52.4204481,16.9150898,,,,11416,7747.678359389305,0.7226007724868571,10.689631462097168,0.2558199167251587,120,,49030131,5750544,,,,29280000,,,,,
2020-05-29,,,,1794.3173924213886,28.0,24,52.4069419,16.9045974,52.4343607,16.9383099,,,,8159,5915.1436713933945,3.09951455000252,39.25200271606445,0.19439522922039032,109,,36771534,3537760,,,,29040000,,,,,
2020-05-30,,,,1791.025631665492,17.0,17,53.0969961,16.76859,53.1501792,17.0100326,,,,7014,4818.728328227997,0.7120076945047363,24.62196159362793,0.26182571053504944,98,,51996594,3597409,,,,22620000,,,,,
2020-05-31,,,,1954.6760084351515,31.0,31,52.4101087,16.9036262,52.4271256,16.9103369,,,,17371,11941.673342585564,1.4040060134773324,27.497915267944336,0.26694250106811523,264,,38065958,6309221,72003,,,22500000,,,,,
2020-06-01,,,,1993.0577370485412,31.0,30,52.382428,16.9098295,52.4411813,16.9888612,,,,14549,9539.398876428604,2.072350281886571,24.880117416381836,0.26694250106811523,197,,40360103,7169834,,,,29100000,,,,,
2020-06-02,,,,1945.510047954481,45.0,44,52.4051469,16.9096139,52.4399088,16.9372371,,,,14471,10496.100306883454,0.9748965777322339,8.594243049621582,0.2391815185546875,195,,41506184,6339141,,,,29040000,,,,,
2020-06-03,,,,1776.262324819092,29.0,28,52.4253819,16.909892,52.4364263,16.9212409,,,,10516,7398.213118553162,1.1478642572019677,5.657832622528076,0.24798762798309326,158,,41159565,3321706,,,,33960000,,,,,
2020-06-04,,,,2069.1789073598616,73.0,73,52.4256934,16.9077503,52.4378337,16.9193618,,,,16895,11576.173240065575,0.6311676044453454,8.026853561401367,0.2558199167251587,232,,72971501,8402497,,,,,,,,,
2020-06-05,,,,1595.7525448295544,,,,,,,,,,1220,767.9205617904663,0.49965410380360287,1.0893031358718872,0.26694250106811523,19,,54391264,111613,,,,30480000,,,,,
2020-06-06,,,,1871.6329487594726,68.0,62,52.4061565,16.904479,52.4429402,16.9253131,,,,13106,7749.409960029767,0.7286799062871308,4.907321453094482,0.2524576783180237,149,,46233980,5028392,,,,28200000,,,,,
2020-06-07,,,,1732.0881682573036,3.0,2,52.4088304,16.9121151,52.4270593,16.9207504,,,,5062,3380.7983601110723,0.755697226613025,5.998699188232422,0.254362016916275,70,,57216822,2545325,,,,24900000,,,,,
2020-06-08,,,,1679.786590717155,3.0,2,52.4263185,16.9099685,52.4268507,16.9119133,,,,4456,3016.562580227852,0.9301605965526626,3.2937119007110596,0.2706877887248993,69,,46116163,1611694,,,,35820000,,,,,
